n,activation_time,mode
1,1.876377814727,default
2,1.448018,default
3,1.405713,default
4,1.25408535751,default
5,1.07413238872,default
6,2.250680,default
7,1.945029059813,default
8,1.24640438878,default
9,4.906574940929,default
10,1.862308157681,default
11,1.405403,default
12,1.996900,default
13,1.269400514,default
14,1.44750,default
15,1.25385839086,default
16,1.16705218984,default
17,1.16207429137,default
18,1.17270912627,default
19,1.03932695753,default
20,1.03626432407,default
21,1.23483559435,default
22,1.573952,default
23,1.964733934618,default
24,1.90670262659,default
25,1.871376175253,default
26,1.811715184472,default
27,1.9092197623,default
28,1.28359180838,default
29,1.573642,default
30,1.985824353293,default
31,1.4472695559,default
32,1.42839059641,default
33,1.35859643956,default
34,1.34983920505,default
35,1.65677754798,default
36,1.31694637602,default
37,1.47469477969,default
38,1.44488723815,default
39,1.573229,default
40,1.25207367857,default
41,1.23053871828,default
42,1.64940330798,default
43,1.40521637673,default
44,1.2449049584,default
45,1.741984,default
46,1.57297,default
47,3.093994,default
48,1.69391303076,default
49,1.41349605921,default
50,1.33738372794,default
51,1.42102644863,default
52,1.51719541486,default
53,1.868383,default
54,1.64504017889,default
55,1.741571,default
56,1.60016449822,default
57,1.26265046744,default
58,1.410824590386432,default
59,1.337264278942112,default
60,1.471074285524312,default
61,2.302839187216192,default
62,2.3039616661068396,default
63,1.910224,default
64,2.501721,default
65,2.306129260769209,default
66,2.3062134431203183,default
67,2.306972491777249,default
68,2.3088559266682656,default
69,1.909965,default
70,2.310706593670326,default
71,2.3119514579875684,default
72,2.3128459733755773,default
73,2.312980073779579,default
74,2.3147830892818453,default
75,2.31781188954467,default
76,2.319213916008345,default
77,2.320340953009564,default
78,2.3214841716289745,default
79,1.95180,default
80,2.324218199464128,default
81,2.3253269634646974,default
82,2.3259344572376035,default
83,2.326046093649251,default
84,2.3269444989851387,default
85,2.330580605812277,default
86,2.333020200590597,default
87,2.3337614235742796,default
88,2.3344642120979566,default
89,1.993646,default
90,2.3354993181961285,default
91,2.33656858558731,default
92,2.3367874378428803,default
93,2.3371888122785975,default
94,2.337387026637142,default
95,2.338079078810167,default
96,2.162350,default
97,2.339144471841102,default
98,2.3396837822298204,default
99,2.344976847136149,default
100,2.3454397392837185,default
101,2.3464064313545414,default
102,2.3469604000052584,default
103,2.204294,default
104,3.3519378181812134,default
105,2.352022322777507,default
106,2.3523011729545287,default
107,2.353266772333803,default
108,2.354661581576788,default
109,2.3562031328669315,default
110,2.33079,default
111,2.3574176031952603,default
112,2.357888462221761,default
113,2.3584573286465105,default
114,3.682702,default
115,2.3588379315500596,default
116,15.359677141417729,default
117,2.3600516343215183,default
118,2.414941,default
119,2.385467554259627,default
120,4.3626799599575765,default
121,2.363389886112607,default
122,2.36471435758429,default
123,2.3652205358746508,default
124,2.414683,default
125,2.366675767787402,default
126,2.3667806679173813,default
127,2.3682315026888054,default
128,2.368235103176107,default
129,2.3688262593539093,default
130,2.3691100243271386,default
131,2.3103938077535813,default
132,2.541134,default
133,2.371992806139644,default
134,2.332143927263572,default
135,3.681824,default
136,2.3843533352611927,default
137,2.375275962699229,default
138,2.456369,default
139,2.3766695386630174,default
140,2.4768024666428307,default
141,2.3981061001417064,default
142,2.3975265160589263,default
143,2.3805345082351645,default
144,2.45611,default
145,2.3822946079874767,default
146,2.3835658255590415,default
147,2.3836638903958547,default
148,2.3851515824227496,default
149,6.216467,default
150,2.3882100711330296,default
151,2.624814,default
152,2.389330049638964,default
153,2.3901765883342345,default
154,2.3914989302649703,default
155,2.391726298056293,default
156,2.392518279211641,default
157,2.3927026214814275,default
158,2.539997,default
159,2.398025133419662,default
160,4.187833,default
161,2.3985780861283312,default
162,2.4009440473880215,default
163,2.624293,default
