n,activation_time,mode
1,1.6020800719,modified
2,1.603421823303,modified
3,1.606177823901,modified
4,1.61046941005,modified
5,1.616032023386,modified
6,1.620794713533,modified
7,1.633003002447,modified
8,1.635389535871,modified
9,4.932576879369,modified
10,1.638193545482,modified
11,1.638248508669,modified
12,1.642663061279,modified
13,1.645113487043,modified
14,1.649367968743,modified
15,1.65407993133,modified
16,1.654637721174,modified
17,1.663726982238,modified
18,1.665059179964,modified
19,1.668542407829,modified
20,1.668634556167,modified
21,1.67486837084,modified
22,1.676869227325,modified
23,1.691153918876,modified
24,1.695563483941,modified
25,1.697910880488,modified
26,1.718268107688,modified
27,1.720929793963,modified
28,1.72208463073,modified
29,1.726619915642,modified
30,1.728538802153,modified
31,1.730995195708,modified
32,1.732041162655,modified
33,1.732271213664,modified
34,1.733808357367,modified
35,1.734295363298,modified
36,1.740266437219,modified
37,1.746053430669,modified
38,1.755078593619,modified
39,1.762943520885,modified
40,1.770713877063,modified
41,1.771289633703,modified
42,1.773532317816,modified
43,1.777391474359,modified
44,1.780292645451,modified
45,1.7806319684,modified
46,1.785272762461,modified
47,1.785408955185,modified
48,1.796585049471,modified
49,1.805397191775,modified
50,1.811322267498,modified
51,1.813990704644,modified
52,1.815732272175,modified
53,1.816970348388,modified
54,1.820654978339,modified
55,1.823147013249,modified
56,1.823643954827,modified
57,1.825790095627,modified
58,1.825864879583,modified
59,1.82812613954,modified
60,1.831442995579,modified
61,1.833949819003,modified
62,1.839761820161,modified
63,1.842813774697,modified
64,1.859558002458,modified
65,1.867637450122,modified
66,1.869417603062,modified
67,1.876880908942,modified
68,1.8792317511,modified
69,1.887663856899,modified
70,1.890810767298,modified
71,1.894425756032,modified
72,1.894619291452,modified
73,1.896637837512,modified
74,4.022435,modified
75,1.903361226841,modified
76,1.905427265934,modified
77,1.935617020695,modified
78,1.938567139017,modified
79,1.958143716632,modified
80,1.958875865355,modified
81,1.968648453064,modified
82,1.970136630594,modified
83,1.982837309763,modified
84,1.986756694845,modified
85,1.988687768647,modified
86,1.991055138171,modified
87,2.991560803829,modified
88,2.01228428181,modified
89,2.01311257212,modified
90,2.02211252163,modified
91,2.02291560885,modified
92,2.02770894614,modified
93,2.02861426008,modified
94,2.03050200837,modified
95,2.03376188085,modified
96,2.03693175297,modified
97,2.04139916583,modified
98,2.0641003728,modified
99,2.0657326907,modified
100,2.07099815515,modified
101,2.07310672565,modified
102,2.07542525279,modified
103,2.08226570877,modified
104,2.08387473427,modified
105,2.08477106682,modified
106,2.08772253293,modified
107,2.0884261391,modified
108,2.09258606011,modified
109,2.09736595716,modified
110,2.10242128025,modified
111,4.020885,modified
112,7.485622,modified
113,2.13310880954,modified
114,2.14345465781,modified
115,2.159945058,modified
116,2.18177627689,modified
117,2.18365609245,modified
118,2.19928096696,modified
119,2.21570384332,modified
120,2.22440199888,modified
121,2.22467633618,modified
122,2.23824791213,modified
123,2.23960098327,modified
124,2.25188533442,modified
125,2.25465822366,modified
126,2.26139996747,modified
127,2.2632955039,modified
128,2.27705798125,modified
129,2.27990302799,modified
130,2.28436121799,modified
131,2.29663862012,modified
132,2.29866543574,modified
133,2.30491941358,modified
134,2.31289145044,modified
135,2.32540947994,modified
136,2.32689794416,modified
137,2.32788253963,modified
138,2.33201974572,modified
139,2.34667747545,modified
140,2.35027849469,modified
141,2.35293413691,modified
142,2.35748487607,modified
143,2.36679809753,modified
144,2.37515411101,modified
145,2.37855232488,modified
146,2.37905466884,modified
147,2.38097432345,modified
148,2.38233272674,modified
149,2.3864337221,modified
150,2.39296088802,modified
151,2.40217879488,modified
152,2.41177543991,modified
153,2.41438431339,modified
154,2.41645545567,modified
155,2.41783509158,modified
156,2.41928694843,modified
157,2.41986434498,modified
158,2.42049093613,modified
159,2.42665881828,modified
160,2.43308774929,modified
161,2.43742046808,modified
162,2.43927656327,modified
163,2.44105542187,modified
164,2.44464556548,modified
165,2.44465221898,modified
166,2.44614315943,modified
167,2.45921978265,modified
168,2.46170051634,modified
169,7.990237,modified
170,3.088828,modified
171,4.398636,modified
172,3.48153830423,modified
173,3.49630372618,modified
174,3.4973021479,modified
175,3.49878426582,modified
176,4.905471,modified
177,3.51157758604,modified
178,3.51627750056,modified
179,7.356021,modified
180,3.53001694424,modified
181,3.53122254962,modified
182,4.567185,modified
183,3.54331608625,modified
184,6.088208,modified
185,3.55907228458,modified
186,3.57179979416,modified
187,5.750077,modified
188,3.57442632986,modified
189,3.57875780334,modified
190,3.5899583583,modified
191,3.59784071502,modified
192,3.60673909606,modified
193,4.904748,modified
194,3.61646512521,modified
195,3.61719664133,modified
196,3.08769241365,modified
197,3.62940884044,modified
198,3.64648070521,modified
199,3.65439549362,modified
200,3.65792421697,modified
201,3.66014826706,modified
202,3.66559326154,modified
203,3.66602048445,modified
204,3.67594915812,modified
205,3.67609097829,modified
206,3.68887593664,modified
207,3.70618541976,modified
208,3.7275357438,modified
209,3.7280614237,modified
210,3.7360651513,modified
211,3.74309053143,modified
212,3.74667696778,modified
213,3.75604680117,modified
214,3.75904009916,modified
215,3.76455669126,modified
216,3.78508186002,modified
217,3.78645942778,modified
218,3.79008348176,modified
219,3.79272814405,modified
220,3.79753350285,modified
221,3.79837544121,modified
222,3.80418425974,modified
223,3.80519913167,modified
224,3.80675111735,modified
225,3.81402593667,modified
226,3.81616254413,modified
227,3.29766865250,modified
228,3.82755018511,modified
229,3.83299018972,modified
230,3.83629413202,modified
231,3.84495255917,modified
232,3.86149219994,modified
233,3.86269573787,modified
234,3.87553773373,modified
235,3.88657629262,modified
236,3.88719913924,modified
237,3.88759726429,modified
238,3.8910339818,modified
239,3.89234091454,modified
240,3.89333509554,modified
241,3.89438996638,modified
242,3.90243967906,modified
243,3.90899853068,modified
244,3.91147223783,modified
245,3.91691970286,modified
246,3.92442623274,modified
247,3.92893513056,modified
248,3.93277727946,modified
249,3.93502283061,modified
250,3.94291129676,modified
251,3.94389282688,modified
252,3.9448612897,modified
253,5.747288,modified
254,3.95149580797,modified
255,5.197889,modified
256,3.54995006715,modified
257,3.96425105564,modified
258,3.96515900323,modified
259,3.96581251344,modified
260,3.9799025947,modified
261,3.98000892759,modified
262,3.98320283131,modified
263,3.99940977246,modified
264,3.00453375318,modified
265,6.211560,modified
266,3.02083372912,modified
267,3.0236874196,modified
268,3.02456191923,modified
269,3.02683898249,modified
270,3.0324236884,modified
271,3.03506930804,modified
272,3.03527010693,modified
273,3.04163515378,modified
274,3.06355035596,modified
275,3.06525691294,modified
276,3.07344422677,modified
277,3.07557255634,modified
278,3.0804478422,modified
279,3.08110281725,modified
280,3.08223860157,modified
281,3.08491131089,modified
282,3.08517420243,modified
283,3.0920650977,modified
284,3.10608940502,modified
285,3.11169869365,modified
