n,plugin,get_time,activation_time,mode
1,001-prime-strategy-translate-accelerator,0.022705793380737305,1.2148716449737549,modified
2,301-redirects,0.012161970138549805,1.607203722000122,modified
3,404-redirected,0.020582914352416992,1.5181138515472412,modified
4,404-redirection,0.020885705947875977,0.6669142246246338,modified
5,404-to-301,0.2641103267669678,1.7182626724243164,modified
6,404-to-start,0.018652915954589844,1.8096106052398682,modified
7,404page,0.015842676162719727,0.7503490447998047,modified
8,a2-optimized-wp,0.01888561248779297,1.20866060256958,modified
9,a3-lazy-load,0.25103330612182617,1.8872299194335938,default
10,above-the-fold-optimization,0.3288249969482422,1.2408256530761719,default
11,accelerated-mobile-pages,0.8209474086761475,0.8862297534942627,modified
12,accesspress-instagram-feed,0.19518828392028809,0.8082790374755859,default
13,accesspress-social-counter,0.09752535820007324,0.7855632305145264,default
14,accesspress-social-icons,0.10721111297607422,3.3940956592559814,default
15,accesspress-social-login-lite,0.12388896942138672,1.7691526412963867,default
16,accesspress-social-share,0.0243685245513916,0.9463233947753906,default
17,accesspress-twitter-feed,0.1923370361328125,0.7937932014465332,default
18,accordion-shortcodes,0.013057947158813477,0.6945834159851074,modified
19,accordions,0.015009164810180664,0.7640631198883057,default
20,acf-content-analysis-for-yoast-seo,0.020172834396362305,0.7781202793121338,modified
21,acf-field-date-time-picker,0.026337862014770508,0.8188045024871826,modified
22,acf-image-crop-add-on,0.016823291778564453,0.6995093822479248,modified
23,acf-qtranslate,0.026106595993041992,0.7416012287139893,modified
24,activecampaign-subscription-forms,0.017509937286376953,0.795529842376709,default
25,acurax-social-media-widget,0.1187591552734375,0.8624517917633057,default
26,ad-injection,0.11730003356933594,0.7526824474334717,modified
27,ad-inserter,0.14130425453186035,0.8218386173248291,modified
28,ad-widget,0.20398855209350586,0.9943015575408936,modified
29,add-category-to-pages,0.011293172836303711,0.7499074935913086,modified
30,add-from-server,0.011629343032836914,0.6900396347045898,modified
31,add-link-to-facebook,0.33301782608032227,1.5454292297363281,default
32,add-logo-to-admin,0.02180194854736328,1.0676493644714355,modified
33,add-meta-tags,0.14348363876342773,0.6818923950195312,default
34,add-to-any,0.21017909049987793,0.7518832683563232,default
35,addfunc-head-footer-code,0.023177623748779297,0.6922175884246826,default
36,addon-elements-for-elementor-page-builder,0.022164583206176758,0.6956367492675781,default
37,addon-so-widgets-bundle,0.013361692428588867,0.9388427734375,default
38,addons-for-visual-composer,0.0343015193939209,0.7203202247619629,default
39,addquicktag,0.021960020065307617,0.6754653453826904,modified
40,addthis,0.4472975730895996,1.470200777053833,default
41,addthis-follow,0.03611469268798828,1.0209589004516602,default
42,admin-custom-login,0.02287125587463379,1.506913185119629,modified
43,admin-management-xtended,0.024949073791503906,0.689140796661377,modified
44,admin-menu-editor,0.020856380462646484,0.7224419116973877,modified
45,admin-menu-tree-page-view,0.020800352096557617,0.6546776294708252,modified
46,admin-post-navigation,0.020375967025756836,0.6742053031921387,modified
47,adminimize,0.02304220199584961,0.8508098125457764,modified
48,adrotate,0.016844749450683594,1.5475592613220215,modified
49,adsense-manager,0.02788519859313965,1.1372992992401123,modified
50,advanced-access-manager,0.11868715286254883,2.998798131942749,default
51,advanced-ads,0.3590364456176758,1.368403434753418,modified
52,advanced-code-editor,0.015307426452636719,0.8273017406463623,modified
53,advanced-custom-fields,0.034488677978515625,0.8310999870300293,modified
54,advanced-custom-fields-font-awesome,0.02207469940185547,0.7056024074554443,modified
55,advanced-database-cleaner,0.01278829574584961,0.8288350105285645,modified
56,advanced-excerpt,0.15534257888793945,0.7203831672668457,default
57,advanced-iframe,0.013034820556640625,1.0517773628234863,default
58,advanced-image-styles,0.020544052124023438,0.722379207611084,modified
59,advanced-menu-widget,0.13116073608398438,0.9125518798828125,modified
60,advanced-post-slider,0.2028944492340088,2.743622303009033,default
61,advanced-random-posts-widget,0.13789772987365723,0.6656391620635986,modified
62,advanced-recent-posts,0.02200007438659668,0.7246620655059814,default
63,advanced-responsive-video-embedder,0.030321836471557617,0.7864894866943359,default
64,advanced-sidebar-menu,0.19729304313659668,0.7187042236328125,modified
65,advanced-text-widget,0.12843537330627441,0.9017736911773682,modified
66,advanced-wp-columns,0.014206886291503906,0.8296189308166504,default
67,advanced-wp-reset,0.021379709243774414,0.8250734806060791,modified
68,affilinet-performance-module,0.11499404907226562,0.7272214889526367,modified
69,ag-custom-admin,0.026282548904418945,0.7068188190460205,modified
70,ajax-load-more,0.02708268165588379,1.4361209869384766,default
71,ajax-search-lite,0.1198124885559082,0.8952586650848389,default
72,ajax-thumbnail-rebuild,0.024702072143554688,0.6943342685699463,modified
73,akismet,0.10327577590942383,0.7317514419555664,modified
74,akismet-privacy-policies,0.024976730346679688,0.6756324768066406,modified
75,all-404-redirect-to-homepage,0.01689600944519043,0.6875388622283936,modified
76,all-in-one-event-calendar,5.852240800857544,4.8202314376831055,default
77,all-in-one-favicon,0.1281578540802002,0.6760704517364502,default
78,all-in-one-schemaorg-rich-snippets,0.029157638549804688,2.074331521987915,default
79,all-in-one-seo-pack,0.32866382598876953,0.8991861343383789,default
80,all-in-one-webmaster,0.025699853897094727,2.7747550010681152,default
