conflict,visual_effects
"gmap-embed, open-external-links-in-a-new-window",False
"a3-lazy-load, wp-shortcode",False
"give, clickfunnels",False
"root-relative-urls, cleantalk-spam-protect",False
"nextgen-gallery, wp-spamshield",False
"wp-facebook-open-graph-protocol, restricted-site-access",False
"wp-cycle, scripts-to-footerphp",False
"twitter-facebook-google-plusone-share, feedzy-rss-feeds",False
"google-map-shortcode, enjoy-instagram-instagram-responsive-images-gallery-and-carousel",False
"meks-flexible-shortcodes, wp-performance-score-booster",False
"easy-coming-soon, wp-slimstat",False
"jquery-updater, easy-digital-downloads",False
"accordions, remove-google-fonts-references",False
"social-icons, better-font-awesome",False
"wp-external-links, vk-all-in-one-expansion-unit",True
"add-meta-tags, wp-parsidate",False
"qtranslate-x, livemesh-siteorigin-widgets",False
"live-composer-page-builder, wp-content-copy-protection",False
"responsive-menu, easy-social-icons",False
"menu-icons, magee-shortcodes",False
"remove-query-strings-from-static-resources, like-box",False
"easy-twitter-feed-widget, social-locker",False
"restricted-site-access, wp-flexible-map",False
"ajax-search-lite, responsive-menu",False
"kimili-flash-embed, disable-feeds",False
"google-map-shortcode, menu-icons",False
"wp-performance-score-booster, use-any-font",False
"hupso-share-buttons-for-twitter-facebook-google, gmap-embed",False
"gtranslate, clickfunnels",False
"q2w3-fixed-widget, easy-coming-soon",False
"wd-google-maps, wp-paginate",False
"olevmedia-shortcodes, use-google-libraries",False
"disable-google-fonts, awesome-weather",False
"twitter-facebook-google-plusone-share, better-click-to-tweet",False
"elementor-templater, qtranslate-x",False
"a3-lazy-load, count-per-day",False
"better-font-awesome, contact-form-add",False
"remove-google-fonts-references, wordpress-easy-paypal-payment-or-donation-accept-plugin",False
"restricted-site-access, wp-flexible-map",False
"wp-spamshield, roses-like-this",True
"woocommerce, invisible-recaptcha",False
"whats-new-genarator, easy-coming-soon",False
"wp-author-date-and-meta-remover, qtranslate-x",True
"genesis-enews-extended, booking",False
"twitter-facebook-google-plusone-share, gmap-embed",False
"google-map-shortcode, jquery-pin-it-button-for-images",False
"disable-google-fonts, ditty-news-ticker",False
"a3-lazy-load, feed-them-social",False
"root-relative-urls, gravity-forms-placeholders",False
"kiwi-social-share, remove-query-strings-from-static-resources",False
"wp-performance-score-booster, crelly-slider",False
"infinite-scroll, use-google-libraries",False
"live-composer-page-builder, to-top",False
"youtube-video-player, acurax-social-media-widget",False
"soundy-background-music, accordions",False
"store-locator-le, wp-customer-reviews",False
"gmap-embed, facebook-thumb-fixer",False
"qtranslate-x, wp-flexible-map",False
"store-locator-le, contact-form-maker",False
"gravity-forms-placeholders, responsive-menu",False
"easy-coming-soon, wd-facebook-feed",False
"jquery-smooth-scroll, a3-lazy-load",True
"youtube-video-player, columns",False
"easy-custom-auto-excerpt, elementor",False
"wp-job-manager, remove-google-fonts-references",False
"booking, jquery-vertical-accordion-menu",False
"user-submitted-posts, twitter-facebook-google-plusone-share",False
"addthis, table-maker",False
"kimili-flash-embed, easy-smooth-scroll-links",False
"restricted-site-access, events-manager",False
"comments-from-facebook, buddypress",True
"grand-media, root-relative-urls",False
"wp-performance-score-booster, ajax-load-more",False
"nk-google-analytics, wordpress-23-related-posts-plugin",False
"remove-query-strings-from-static-resources, scroll-back-to-top",False
"remove-query-strings-from-static-resources, responsive-lightbox-lite",False
"addthis, better-font-awesome",False
"wp-live-chat-support, jquery-updater",False
"forms-contact, booking",False
"wp-spamshield, like-box",False
"wp-jquery-lightbox, a3-lazy-load",True
"live-composer-page-builder, easy-columns",False
"disable-feeds, twitter-facebook-google-plusone-share",False
"invisible-recaptcha, sidebar-login",False
"mappress-google-maps-for-wordpress, addthis-follow",False
"qtranslate-x, recent-posts-widget-with-thumbnails",False
"easy-coming-soon, nextend-facebook-connect",False
"disable-google-fonts, better-click-to-tweet",False
"user-submitted-posts, store-locator-le",False
"wp-performance-score-booster, video-embed-thumbnail-generator",False
"sidebar-login, youtube-video-player",False
"kimili-flash-embed, mappress-google-maps-for-wordpress",False
"a3-lazy-load, wp-shortcode",False
"live-composer-page-builder, magee-shortcodes",False
"megamenu, wp-spamshield",False
"custom-contact-forms, jquery-updater",False
"gmap-embed, vslider",False
"animate-it, disable-google-fonts",False
"google-map-shortcode, search-filter",False
"autodescription, restricted-site-access",False
"clickfunnels, bbpress",False
"easy-coming-soon, ultimate-google-analytics",False
"buddypress, twitter-facebook-google-plusone-share",False
"qtranslate-x, wp-performance-score-booster",False
"counterize, a3-lazy-load",True
"addthis-follow, projects-by-woothemes",False
"easy-digital-downloads, better-font-awesome",False
"youtube-video-player, download-monitor",False
"recent-facebook-posts, easy-coming-soon",False
"mailchimp-forms-by-mailmunch, responsive-menu",False
"wp-spamshield, wp-social-likes",True
"hupso-share-buttons-for-twitter-facebook-google, twitter-facebook-google-plusone-share",False
"jquery-updater, pirate-forms",False
"formidable, invisible-recaptcha",False
"youtube-channel-gallery, restricted-site-access",False
"remove-google-fonts-references, wordpress-popular-posts",False
"remove-query-strings-from-static-resources, easy-twitter-feed-widget",False
"disable-google-fonts, accesspress-social-icons",False
"sportspress, disable-feeds",False
"easy-smooth-scroll-links, wp-socializer",False

